domain,has_booking,booking_platform,reasoning,source,provider_name,country_name,continent
bestofzante.com,t,FareHarbor,"The website uses an iframe from FareHarbor, indicating an online booking system is available.",llm_html,Geladas Angelos Tou Petrou,Greece,EU
queguapo.eu,t,tourqueguapo.com,"The site offers a 'Ver disponibilidad' button for booking quad tours, indicating an online booking system.",llm_markdown_v1,Que Guapo Tpur,Spain,EU
northernspaingastronomy.com,t,FareHarbor,"The website uses an iframe from fareharbor.com, indicating an online booking system.",llm_html,Northern Spain Gastronomy,Spain,EU
stavroswatersports.com,f,,The website does not provide an online booking system; it lacks direct booking buttons or payment options.,llm_markdown_v1,Stavros Natsikos,Cyprus,EU
maliayachting.gr,f,,The site uses a contact form for inquiries and does not provide direct online booking or payment options.,llm_markdown_v1,Mallia Port,Greece,EU
davenford.com,t,,The site has a 'STAY WITH US' button linking to a booking page with date selection and guest options.,llm_html,Davenford,United Kingdom,EU
prague.eu,t,WooCommerce,The website has an e-shop where users can add experiences to a cart and proceed to checkout.,llm_markdown_v1,Prague City Tourism,Czech Republic,EU
thesoulspa.co.uk,f,,The website does not feature an online booking system; it primarily provides contact information for reservations.,llm_markdown_v1,The Curious Soul,United Kingdom,EU
gite-barca-cinqueterre.com,f,,"The website only offers contact forms and phone numbers for inquiries, with no online booking system present.",llm_markdown_v1,L'Acciughina,Italy,EU
oxigentour.ro,t,,"The site has clear booking UI with 'Rezerva acum' buttons and pricing, but no known booking platform integration.",llm_html,Oxigen Travel Nature,Romania,EU
evtt-provence.com,t,FareHarbor,"The website uses an iframe from fareharbor.com, indicating an online booking system is available.",llm_html,Evtt Provence,France,EU
bura-adventure.com,t,,"The site has multiple 'More Info' buttons and service details, indicating booking options, but no known platform integration.",llm_html,Bura Adventure,Croatia,EU
13nails.net,f,,The content does not mention any online booking system or relevant booking platforms.,llm_markdown_v1,,,
explorana.no,t,,"The site has clear booking UI with a 'Les og book HER' link for guided tours, indicating online booking capability.",llm_html,Explorana,Norway,EU
surfschoolcactus.com,t,,"The site has a 'Book now!' button leading to a booking page, indicating online booking capability.",llm_html,Surf School Cactus,Spain,EU
myparisriver.com,f,,The website does not provide an online booking system; it only offers links for more information and contact options.,llm_markdown_v1,Paris River Cruise,France,EU
cadburyworld.co.uk,t,,"The site has multiple 'Book Now' buttons and clear pricing, indicating an online booking system without a known platform.",llm_html,Cadbury World Merlin,United Kingdom,EU
aclimatando.com,t,Regiondo,"The website uses Regiondo for booking, with clear options to book experiences and pay directly.",llm_html,Aclimatando Experiencias De MontañA,Spain,EU
donaldshighlandtours.com,f,,The website does not have an online booking system; it only provides contact information for inquiries.,llm_markdown_v1,Donald’S Highland Tours,United Kingdom,EU
123taxihrg.com,t,Bokun,"The site uses Bokun for online bookings, indicated by the presence of Bokun buttons and related content.",llm_html,,Egypt,EU
navegasintitulo.com,t,FareHarbor,"The website uses FareHarbor's iframe for booking, indicating online booking capability.",llm_html,Navega Sin Titulo Sitges Rent Boat,Netherlands,EU
sealifepalermo.it,f,,The website does not mention any online booking system or platforms; it primarily provides information and contact options.,llm_markdown_v1,Sealifepalermo,Italy,EU
alegranzaexperience.com,t,,"The site has a 'BOOK NOW' button linked to an external booking page, indicating online booking capability.",llm_html,Alegranza Experience,Spain,EU
mercattours.com,t,,"The site has multiple 'book now' buttons and a checkout link, indicating online booking capability.",llm_html,Mercat Tours,United Kingdom,EU
olympictransferkefalonia.com,f,,The website does not provide an online booking system; it only offers contact via phone or email for reservations.,llm_markdown_v1,Olympic Transfer Kefalonian Tours,Greece,EU
northwestirelandtours.com,t,,"The website has 'BOOK or ENQUIRE' links for various tours, indicating an online booking system.",llm_markdown_v1,Northwest Sherpa Tours,Ireland,EU
setimaondaboattrips.com,t,FareHarbor,"The website contains an iframe from FareHarbor, indicating an online booking system is available.",llm_html,SéTima Onda Boat Trips,Netherlands,EU
seagulldubrovnik.com,t,Stripe,"The provider allows bookings through their website with payment processing via Stripe, indicating an online booking system.",llm_markdown_v1,Seagull Dubrovnik - Private Boat Tours,Croatia,EU
venicecitytours.it,t,TripAdvisor,The site mentions 'Sistema di prenotazione di TripAdvisor' indicating an online booking system.,llm_html,City Tours Co,Italy,EU
buggy-dubrovnik.com,t,,"The site has multiple 'Book Now' buttons and clear pricing plans, indicating an online booking system without a known platform.",llm_html,Buggy Dubrovnik,Croatia,EU
3bridgesraft.com,t,FareHarbor,"The website includes an iframe from FareHarbor, indicating online booking capability.",llm_html,,United States,NA
trompenburg.nl,t,WooCommerce,The website has an online shop with products that can be added to a cart and purchased directly.,llm_markdown_v1,Trompenburg Tuinen & Arboretum,Netherlands,EU
wildkerrydaytours.com,t,,The site has clear booking UI with options to select tours and a 'Select Options' button for booking.,llm_html,Wild Kerry Daytours,Ireland,EU
seelondonbynight.com,t,,"The site has a 'Book Online' button leading to a booking page, indicating online booking capability.",llm_html,See London By Night,United Kingdom,EU
santorinichaniotistravel.com,t,,"The site has clear booking UI with buttons like 'Book your transfer here' and 'DISCOVER OUR TOURS', indicating booking capability.",llm_html,Chaniotis Travel Santorini,Greece,EU
aroundfreedom.pt,t,FareHarbor,"The website uses an iframe from fareharbor.com, indicating an online booking system is in place.",llm_html,Aroundfreedom,Portugal,EU
noroads.com.au,f,,The website does not provide an online booking system; it focuses on guided tours without direct booking options.,llm_markdown_v1,No Roads Expeditions,Australia,OC
adriaticpartner.com,f,,The website does not provide an online booking system; it only offers contact forms and requests for quotes.,llm_markdown_v1,Klik Holidays,Croatia,EU
360jump.regiondo.de,t,Regiondo,"The website uses Regiondo for booking, as indicated by the URLs containing 'regiondo.de' and a checkout link.",llm_html,,,EU
terraincognita.pt,t,FareHarbor,"The website uses FareHarbor for online bookings, indicated by the presence of a shopping cart and booking options.",llm_markdown_v1,Atlantic Teams And Regattas,Portugal,EU
worldofefoil.com,t,,"The site has a 'Book now' button for courses, indicating online booking capability, but no known platform is identified.",llm_html,World Of Efoil,Germany,EU
alcantarabikes.it,t,,"The site has a 'BOOKINGS' button that links to a booking page, indicating online booking capability.",llm_html,Alcantara Bike,Italy,EU
padmaholidays.com,t,,"The site has clear booking UI with 'view this tour' buttons and pricing, indicating online booking capability.",llm_html,Padma Holidays,India,AS
discover-eagles-nest.com,t,,"The site has a 'Book a Tour' button linking to a booking page, indicating online booking capability.",llm_html,Discover Eagle's Nest,Germany,EU
adventuretrikes.com,t,FareHarbor,"The website uses an iframe from fareharbor.com, indicating an online booking system.",llm_html,Pursuit Adventure,Netherlands,EU
clickandquads.com,t,,"The site has clear booking UI with 'Más información' links leading to detailed tour pages, indicating booking options.",llm_html,Click And Quads,Spain,EU
bigbluediving.net,t,BlooWatch,"The website bigbluediving.net has 'Book now' links that lead to an embedded booking system hosted on their own domain with BlooWatch platform, allowing customers to select and pay for diving experiences directly on the site.",linkup_deep_v1,Avispa Labs,Spain,EU
thehickorygolfworkshop.com,t,Beyonk,The website has multiple 'BOOK NOW' links leading to booking pages with embedded Beyonk booking widgets allowing date and guest selection for experiences.,,The Hickory Golf Workshop,,
bff-bonn.com,t,,"The site has multiple 'Jetzt buchen' buttons and clear booking UI, but no known platform integration.",llm_html,Bff,Germany,EU
thecheftours.com,f,,No clear booking UI or known booking platform found; only links to tour pages.,llm_html,Sas Windmill,France,NA
about.me,t,,"The site mentions capturing leads and booking appointments with Google, indicating a booking capability.",llm_html,Rodolfo Fregoso Adame,,EU
italycyclingtour.it,t,FareHarbor,The website contains multiple 'Book Now' buttons linking to FareHarbor for booking experiences.,llm_html,Italy Cycling Tour,Italy,EU
aziendaagricolagalano.com,f,,The website does not provide any online booking system or direct payment options; it only offers contact forms for inquiries.,llm_markdown_v1,Acwl,Italy,EU
cultival.fr,t,,"The site has clear booking UI with links to book experiences and prices displayed, but no known booking platform was found.",llm_html,Cultival,France,EU
marioviennaguide.com,t,,"The site has multiple 'Book now' buttons and links to specific tours, indicating a booking system, but no known platform was identified.",llm_html,Casalone Mario,Austria,EU
lanternghosttours.com,t,,"The site has multiple 'BOOK NOW' buttons for tours, indicating a booking system, but no known platform was identified.",llm_html,Lantern Ghost Tours Limited,Australia,OC
movviendo.com,f,,No online booking system or direct booking options found on the website.,llm_markdown_v1,Movviendo Tourism Group,Spain,NA
mondevertical.com,t,,"The website mentions 'réservez sur notre site internet', indicating an online booking system, but no specific platform is identified.",llm_markdown_v1,Monde Vertical,France,EU
koekainuu.fi,f,,No evidence of an online booking system or payment options found in the scraped content.,llm_markdown_v1,Koe Kainuu,Finland,EU
3421384.com,t,FareHarbor,The website contains multiple links to FareHarbor for booking services directly.,llm_html,,,NA
heartoflofoten.org,f,,The website does not have an online booking system; it offers customizable tours but requires contact for reservations.,llm_markdown_v1,Andrea Selva,Norway,EU
navaliacanarias.com,f,,The website does not feature any online booking system or payment options for experiences.,llm_markdown_v1,Navalcan Servicios Tecnicos,Spain,EU
visitvigata.com,f,,"The website only provides contact information for reservations, with no online booking system or payment options.",llm_markdown_v1,Visit Vigata,Italy,EU
arnauticasalerno.it,t,,"The website has clear booking UI with options to select and book various vehicles, but no known booking platform was found.",llm_html,Ar Nautica Salerno,Italy,EU
timetravels.fi,t,,"The site has clear booking UI with 'Book now' buttons and availability indicators, but no known booking platform was identified.",llm_html,Aikamatkat,Finland,EU
luxurytransferservices.com,t,,"The site has a booking form with date pickers and a 'Book now' button, indicating online booking capability.",llm_html,The Daig Jiz Taxi,Netherlands,EU
chessington.com,t,,"The site has multiple 'Book Now' buttons and clear booking UI, but no known booking platform detected.",llm_html,Chessington World Of Adventures,United Kingdom,EU
advaitaadventures.lv,t,,"The site has clear booking UI elements like 'Book now' and pricing, but no known booking platform was identified.",llm_html,D6 Group,Latvia,EU
minicrociere.tarnav.it,t,,"The site has a booking form with a date picker and a purchase button, indicating online booking capability.",llm_html,Tarnav,Italy,EU
daivoon.com,f,,The website does not provide a direct online booking system; it only offers links to contact for reservations.,llm_markdown_v1,Daivoon Diving Center,Spain,EU
uncomfortableoxford.com,t,,"The site has a 'BOOK NOW' button leading to a booking page, indicating online booking capability.",llm_html,Uncomfortable Oxford,United Kingdom,EU
nds-malta.com,t,,"The site has clear booking UI with 'Book your diving for 2025' and 'dive packages' buttons, indicating online booking capability.",llm_html,New Dimension Scuba,Malta,EU
aroopa.travel,t,,"The site has a date picker and a search button for tours, indicating online booking capability.",llm_html,Aroopa Travel,Austria,EU
pedalcruises.com,t,,"The site has a 'Book now' link and mentions reservations, indicating an online booking system.",llm_html,Eventium Desarrollo Y Gestion,Spain,EU
etnavic.com,t,,"The site has clear booking UI with multiple tour options and 'Book now' buttons, but no known booking platform was identified.",llm_html,Baricordi Monica,Italy,EU
mountainmarcus.com,t,FareHarbor,"The website uses FareHarbor's iframe for booking, indicating online booking capability.",llm_html,Mountain Marcus,Netherlands,EU
romanianmapletours.com,t,,"The site has a booking form with destination selection and a submit button, indicating online booking capability.",llm_html,Romanian Maple Tours,Romania,EU
dusseldorf-tour.com,t,,"The site has multiple 'Book now' buttons linking to a booking page, indicating online booking capability.",llm_html,Naturanda Turismo Ambiental,Germany,EU
kitelab.info,f,,The website does not offer an online booking system; it requires inquiries via email or contact form.,llm_markdown_v1,Kite Lab,Italy,EU
privatetourtenerife.com,t,WooCommerce,"The site has 'Add to basket' functionality and displays prices for tours, indicating an online booking system.",llm_markdown_v1,Private Tour Tenerife,Spain,SA
glarakicruises.com,t,,"The site has a 'Book now!' button and mentions booking options, but lacks a known platform or clear checkout flow.",llm_html,Glaraki Cruises,Greece,EU
1670tours.com,t,FareHarbor,"The website uses FareHarbor for online booking, as indicated by the iframe and related URLs.",llm_html,1670 Tours,Netherlands,NA
krkboattrip.com,f,,The website does not have an online booking system; payments are made in cash or via PayPal on the day of the excursion.,llm_markdown_v1,Beach Taxi Punat,Croatia,EU
mylondontourguide.com,t,,"The website has a booking form link for tours, allowing customers to book directly online.",llm_markdown_v1,My London Guide,United Kingdom,EU
walters.lv,t,,"The site has a date picker and a booking form for reservations, indicating online booking capability.",llm_html,Walters,Latvia,EU
italianfactorymotortour.com,f,,The website does not provide an online booking system; it lacks direct booking buttons or checkout features.,llm_markdown_v1,Promobici,Italy,EU
humrahe.com,t,,"The site has multiple 'Book Now' buttons and displays pricing, indicating an online booking system.",llm_html,Humrahe,,EU
londontourcompany.co.uk,t,,"The site has clear booking UI with 'Find a Tour' and 'DISCOVER TOURS' buttons, indicating booking capability.",llm_html,Tourope Uk,United Kingdom,EU
xalam.nl,t,FareHarbor,"The website contains an iframe from FareHarbor, indicating online booking capability.",llm_html,Xalam,Netherlands,EU
socasplash.com,t,,"The website has 'Book now' buttons and a 'Rezerviraj si svoj termin' link, indicating an online booking system.",llm_markdown_v1,Likona,Slovenia,EU
leprovidence.fr,t,,"The site has multiple 'RÉSERVEZ VOTRE SORTIE' buttons linking to a reservation page, indicating online booking capability.",llm_html,Maxi-Catamaran Providence,France,EU
renatalanzoni.com,f,,"The website primarily offers books for sale and events, with no online booking system for experiences.",llm_markdown_v1,Renata Lanzoni,United Kingdom,EU
passengerdiaries.com,f,,The scraped content does not indicate any online booking system or direct booking options.,llm_markdown_v1,Passenger Diaries Swiss Tours,Switzerland,EU
mobydickcharter.com,t,,"The site has a 'RESERVA AHORA / BOOK NOW' button linking to a booking page, indicating online booking capability.",llm_html,Valestep Proyectos Y Servicios Integrales,Spain,EU
osrodek.roza.pl,t,,The site has a clear booking button labeled 'REZERWUJ POBYT' leading to a reservation page.,llm_html,OśRodek RóżA WiatróW,Poland,EU
privatetoursmallorca.com,t,,"The site has a date picker and a search form for activities, indicating online booking capability.",llm_html,Mallorca Island Tour Guide,Spain,EU
mykonostourvan.com,f,,No clear booking system or known platform found; only links to tour details without booking options.,llm_html,Ilias Filios,Greece,EU
alpenair.de,t,,"The site has multiple 'Rundflug buchen' buttons leading to booking pages, indicating online booking capability.",llm_html,Alpen Air Aviation,Germany,EU
almadecreta.com,t,FareHarbor,"The website uses an iframe from fareharbor.com, indicating an online booking system.",llm_html,Alma De Creta,Netherlands,EU
franceraft.com,f,,"The site requires reservations via email or phone, with no online booking system or payment options available.",llm_markdown_v1,Eau Vive Aventures,France,EU
italydolomites.com,t,,"The website features multiple 'INFO & PRICE' links for tours, indicating an online booking system, but no specific platform is mentioned.",llm_markdown_v1,As Chess Services Alexander,Italy,EU
lemnoswinetrails.gr,t,,"The site has a 'Book' button linking to a tour page, indicating online booking capability, but no known platform was found.",llm_html,Konstantara Eleph,Greece,EU
outdooradventureshungary.com,f,,The website does not have an online booking system; it only provides contact information for inquiries.,llm_markdown_v1,Kulcsar Gyorgy,Hungary,EU
poseidoncyprus.com,t,,"The site has clear booking UI elements like 'Book now' and product listings, but no known booking platform was identified.",llm_html,Poseidon Dive Centre,Cyprus,EU
quadadventure.fr,t,,"The site has clear booking buttons with links to specific booking pages, indicating online booking capability.",llm_html,Quad Adventure Paris,France,EU
giteinbarca.it,t,,"The site has a clear booking button labeled 'Prenota' and provides a link for online reservations, indicating booking capability.",llm_html,"Lady Luna 3, Family Sea",Italy,EU
stadtlandtour.de,f,,The scraped content does not indicate any online booking system or direct payment options.,llm_markdown_v1,Stadtlandtour,Germany,EU
koseligmoments.com,t,,"The site has a date picker, guest selector, and booking buttons indicating online booking capability.",llm_html,Koselig Moments Viegas,Norway,NA
gocanyoningmadeira.com,t,,"The site has a 'Book Now' button linking to a booking page, indicating online booking capability.",llm_html,Daniel Caré Ferreira,Portugal,EU
dailytoursfromathens.com,t,,"The site has a date picker, price display, and a 'Search' button indicating booking capability, but no known platform.",llm_html,Georgios Mavrogiannakis Ioannis,Greece,EU
castlexperience.com,t,,"The site has a date picker and clear booking UI with price displayed, indicating online booking capability.",llm_html,Castlexperience,Spain,EU
wowzurich.com,t,Rezgo,The site has multiple 'BOOK NOW' buttons linking to Rezgo for booking tours directly.,llm_html,Wow Zurich Tours,Switzerland,EU
fortandrobins.it,t,GetYourGuide,The website mentions using third-party payment applications like GetYourGuide for reservations.,llm_markdown_v1,Fort And Robins Tours,Italy,EU
absoluparapente.com,t,,"The site has multiple 'Book Now' buttons and clear booking UI, but no known booking platform was identified.",llm_html,Absolu Parapente,France,EU
trekkingbaunei.it,f,,The content does not indicate any online booking system or direct payment options.,llm_markdown_v1,Explorando Supr.Te,Italy,EU
blue-daily-cruises.com,t,,"The site has a 'BOOK NOW' button and mentions booking tickets, indicating an online booking system.",llm_html,Blue Cruises Ierapetra,Greece,EU
medseacruises.gr,t,,"The site has a 'BOOK NOW' button linking to a booking page, indicating online booking capability.",llm_html,Mediterranean Sea Cruises,Greece,EU
transferme.ie,t,,"The site has a 'Book Now' button and mentions booking services, but no known booking platform is embedded.",llm_html,Peter SzecsöDi,Ireland,EU
rijeka-adventures.com,f,,No evidence of an online booking system or relevant booking platform mentioned in the content.,llm_markdown_v1,Rijeka Adventures,Croatia,EU
ansdivingischia.it,t,,"The site has clear booking UI with 'Experiences' and 'Book now' buttons, indicating online booking capability.",llm_html,Ans Diving Ischia,Italy,EU
justgotours.pt,t,,"The site has a booking form with a 'Book this jeep tour' button and a submission form, indicating online booking capability.",llm_html,Just Go Tours Madeira,Portugal,EU
tenerife.com,t,,"The site has a reservation form with a date picker and a submit button, indicating online booking capability.",llm_html,Bahia Cars,Spain,EU
canterburyguidedtours.com,t,,"The site has a 'Book your tickets online now' button linking to a booking page, indicating online booking capability.",llm_html,Canterbury Tourist Guides,United Kingdom,EU
seahorsecruisesmalta.com,t,,"The site has multiple 'Book Now' buttons with pricing and descriptions, indicating an online booking system.",llm_html,Owen Anthony Calleja,Malta,EU
menorca.es,t,GetYourGuide,"The site includes an iframe from GetYourGuide, indicating online booking capability.",llm_html,Fundació Foment Del Turisme De Menorca,Spain,EU
sardiniagrandtour.com,t,,"The website has a booking form with options for category and level of support, along with a 'Search' button indicating booking capability.",llm_html,Mediterras,Italy,EU
agiosnikolaosboatrent.com,t,,"The site offers multiple tours with detailed descriptions and 'more' links, indicating booking options, but no known platform was found.",llm_html,Geleos Nikolaos,Greece,EU
draytonmanor.co.uk,t,,"The site has multiple 'Book Now' buttons and a guest selector, indicating online booking capability.",llm_html,Drayton Manor,United Kingdom,EU
groovybrussels.com,t,,"The site has clear booking buttons and links to a booking page, indicating online booking capability.",llm_html,Groovy Tours,Belgium,EU
perfectcharter.com,t,FareHarbor,"The website uses an iframe from fareharbor.com, indicating an online booking system is in place.",llm_html,Perfect Charter,Netherlands,EU
karika-vodice.com,t,,"The site has a booking form with a date picker and required fields for booking, indicating online booking capability.",llm_html,Karika,Croatia,EU
escursionibarcacarloforte.it,t,,"The site has clear booking UI with 'Prenota ora la tua escursione!' and pricing details, but no known booking platform.",llm_html,Golfo Di Palmas,Italy,EU
onvol.net,f,,The content does not mention any online booking system or relevant booking platforms.,llm_markdown_v1,Luzzu Cruises,Malta,EU
sailnfun.com,t,,"The site has multiple 'BOOK NOW' buttons leading to a booking page, indicating online booking capability.",llm_html,Sail 'N Fun,Italy,EU
greca.co,t,,"The site has a date picker, booking button, and price display, indicating an online booking system.",llm_html,Greca Travel,Greece,SA
ouryogamind.com,t,Momoyoga,"The website uses Momoyoga for online bookings, allowing users to book and pay for experiences directly.",llm_markdown_v1,Our Yoga Mind,Spain,EU
chefparade.hu,t,,"The site has a calendar for course selection and booking buttons, indicating online booking capability.",llm_html,Chef-Parade,Hungary,EU
laplandxtours.com,t,Bokun,"The website uses Bokun for online bookings, indicated by 'Book Now' buttons linking to Bokun's booking engine.",llm_markdown_v1,Lapland X Tours,Finland,EU
lakelandgte.fi,t,,"The site has a date picker, participant selector, and booking buttons indicating online booking capability.",llm_html,Lakeland Gte,Finland,EU
scubaelx.com,t,,The website has a 'RESERVA ONLINE AQUÍ Y ASEGURA TU PLAZA' link for online booking of snorkeling activities.,llm_markdown_v1,Scuba Nautic,Spain,EU
menorcapaddlesurf.com,t,Booknetic,"The site has a booking system with multiple steps for selecting services, dates, and confirming bookings.",llm_html,Menorca Paddle Surf,Spain,EU
escaperoom.dk,t,,"The site has multiple 'Book' buttons and links to a booking page, indicating online booking capability.",llm_html,Escape Room By Midgaard Event,,EU
johka.fi,f,,The website does not provide an online booking system; it only offers contact forms and phone/email for reservations.,llm_markdown_v1,Johka,Finland,EU
ziegen-hof.de,f,,No booking system or UI elements found; only links to information and contact options.,llm_html,Ziegenhof KöNigstein,Germany,EU
lamialiguria.it,f,,The content does not mention any online booking system or relevant booking platforms.,llm_markdown_v1,Thalassa Outdoor Adventure,Italy,EU
team-game.de,t,,"The site has a 'JETZT BUCHEN' button linking to a booking page, indicating online booking capability.",llm_html,Team Game Gmbh,Germany,EU
vossfolkemuseum.no,f,,The content mentions booking for groups via phone but lacks an online booking system or platform.,llm_markdown_v1,Voss Folkemuseum,,EU
outlook.my,f,,The scraped content does not mention any online booking system or relevant booking platforms.,llm_markdown_v1,Trevohub Tours And Travel,United States,AS
emotions-tours.com,t,,"The site has multiple 'Book now' buttons and clear booking UI, but no known booking platform was identified.",llm_html,Algarve Emotions,Portugal,EU
familygolfpark.pt,t,FareHarbor,"The website uses FareHarbor's iframe for booking, indicating online booking capability.",llm_html,Family Golf Park Vilamoura,Portugal,EU
morganasailingcharter.com,f,,No clear booking UI or known booking platform found. Only contact options and social media links present.,llm_html,Morgana Sailing,Italy,EU
mountain-goat.com,t,,"The website features multiple 'View Tour' buttons with pricing, indicating an online booking system.",llm_markdown_v1,Mountain Goat,United Kingdom,EU
euroetnatourism.it,t,,"The site has clear booking UI with links to book tours, but no known booking platform was found.",llm_html,Euroetna Tourism Service,Italy,EU
belfastmillietours.com,f,,The website does not contain any online booking system or relevant booking platform integrations.,llm_markdown_v1,Belfast Millie Tours,United Kingdom,EU
oceanario.pt,t,,The site has multiple links to ticket purchasing pages with clear booking UI elements like 'Buy tickets' and 'Reserve now'.,llm_html,OceanáRio De Lisboa,Portugal,EU
rome-limousines.com,t,,"The website has a 'Booking request' button that suggests booking capability, but no known platform is identified.",llm_html,Rome-Limousines,Italy,EU
wildfuerteventura.surf,t,,"The site has a 'Reserva AHORA' button with a price displayed, indicating a booking option, but no known platform was found.",llm_html,Fuerte Salvaje,Spain,EU
theredbicycle.org,t,,"The site has a date picker and booking buttons, indicating online booking capability without a known platform.",llm_html,The Red Bicycle,Italy,EU
gabrielwatersports.com,t,WooCommerce,"The website has 'Book Full Day', 'Book Morning', and 'Book Afternoon' buttons leading to a checkout process.",llm_markdown_v1,Gabriel,Croatia,EU
companywall.hr,f,,No evidence of an online booking system or relevant booking platforms found in the scraped content.,llm_markdown_v1,Mari-Eta,Croatia,EU
pbike.pt,t,,"The site has clear booking UI with 'Reserva já' buttons linking to an online scheduling page, indicating booking capability.",llm_html,Joana Sobral Gomes,Portugal,EU
letsbikesardinia.com,t,Regiondo,"The website uses Regiondo for booking, indicated by the presence of 'regiondo-widget' and booking buttons.",llm_html,Let'S Bike Sardinia,Italy,EU
firstchoicetravel.gr,t,,"The site has multiple 'Book Now' buttons and clear booking UI, but no known booking platform embed.",llm_html,Firstchoice Travel,Greece,EU
traveller.ee,f,,The content indicates no online booking system; tickets must be purchased at counters or through external websites.,llm_markdown_v1,Artguide,Estonia,EU
maidenheadheritage.org.uk,t,,"The site has clear booking signals with 'BOOK YOUR OCTOBER HALF TERM SPITFIRE FLIGHTS NOW' and a 'Read more' link, indicating booking capability.",llm_html,Maidenhead Heritage Centre,United Kingdom,EU
sailemotions.com,f,,The website does not provide an online booking system; it only offers contact options for inquiries.,llm_markdown_v1,Experience Emotions,Spain,EU
royalline.fi,t,,"The site has 'Osta nyt' buttons for purchasing tickets, indicating a booking system, but no known platform was identified.",llm_html,Royal Line,Finland,EU
royalline.ee,t,,"The site has multiple 'Book Now' buttons and links to book cruises, indicating online booking capability.",llm_html,Royal Line Estonia,Estonia,EU
hamburg-tours.com,t,,"The site has multiple 'Jetzt buchen' buttons, indicating booking capability, but no known booking platform was found.",llm_html,Hamburg Tours,Germany,EU
